nt_code,microbe_label,species_label,species_name,species,strain,genus,family,phylum,matched_taxon_uri,matched_taxon_name,matched_query_name,strain_match_level,uniprot_accession,uniprot_protein_uri,uniprot_organism_name,uniprot_protein_name,ec_number,reviewed,enzyme_id,enzyme_name,annotation_match_mode
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RWW1,http://purl.uniprot.org/uniprot/A0A078RWW1,Bacteroides uniformis str. 3978 T3 ii,protein-tyrosine-phosphatase,3.1.3.48,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RX71,http://purl.uniprot.org/uniprot/A0A078RX71,Bacteroides uniformis str. 3978 T3 ii,dTTP/UTP pyrophosphatase,3.6.1.9,False,ENZ014,phosphatase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RXL4,http://purl.uniprot.org/uniprot/A0A078RXL4,Bacteroides uniformis str. 3978 T3 ii,phosphoglycolate phosphatase,3.1.3.18,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RXP8,http://purl.uniprot.org/uniprot/A0A078RXP8,Bacteroides uniformis str. 3978 T3 ii,Beta-glucuronidase,3.2.1.31,False,ENZ001,beta_glucuronidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RXU0,http://purl.uniprot.org/uniprot/A0A078RXU0,Bacteroides uniformis str. 3978 T3 ii,beta-N-acetylhexosaminidase,3.2.1.52,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RXZ5,http://purl.uniprot.org/uniprot/A0A078RXZ5,Bacteroides uniformis str. 3978 T3 ii,,3.1.3.12,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RY18,http://purl.uniprot.org/uniprot/A0A078RY18,Bacteroides uniformis str. 3978 T3 ii,beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RY48,http://purl.uniprot.org/uniprot/A0A078RY48,Bacteroides uniformis str. 3978 T3 ii,alpha-L-fucosidase,3.2.1.51,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RYL5,http://purl.uniprot.org/uniprot/A0A078RYL5,Bacteroides uniformis str. 3978 T3 ii,protein-tyrosine-phosphatase,3.1.3.48,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RYP0,http://purl.uniprot.org/uniprot/A0A078RYP0,Bacteroides uniformis str. 3978 T3 ii,Imidazole glycerol phosphate synthase subunit HisH,3.5.1.2,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RYR3,http://purl.uniprot.org/uniprot/A0A078RYR3,Bacteroides uniformis str. 3978 T3 ii,Glutaminase,3.5.1.2,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RYZ6,http://purl.uniprot.org/uniprot/A0A078RYZ6,Bacteroides uniformis str. 3978 T3 ii,beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RYZ8,http://purl.uniprot.org/uniprot/A0A078RYZ8,Bacteroides uniformis str. 3978 T3 ii,Phosphoesterase,3.1.4.-,False,ENZ005,carboxylesterase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZ83,http://purl.uniprot.org/uniprot/A0A078RZ83,Bacteroides uniformis str. 3978 T3 ii,Histidine biosynthesis bifunctional protein HisB,3.1.3.15,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZB1,http://purl.uniprot.org/uniprot/A0A078RZB1,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZB1,http://purl.uniprot.org/uniprot/A0A078RZB1,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZI7,http://purl.uniprot.org/uniprot/A0A078RZI7,Bacteroides uniformis str. 3978 T3 ii,beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZI7,http://purl.uniprot.org/uniprot/A0A078RZI7,Bacteroides uniformis str. 3978 T3 ii,beta-galactosidase,3.2.1.23,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RZP1,http://purl.uniprot.org/uniprot/A0A078RZP1,Bacteroides uniformis str. 3978 T3 ii,N-acetylmuramoyl-L-alanine amidase,3.5.1.28,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S002,http://purl.uniprot.org/uniprot/A0A078S002,Bacteroides uniformis str. 3978 T3 ii,,3.1.3.45,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S0G3,http://purl.uniprot.org/uniprot/A0A078S0G3,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S0G3,http://purl.uniprot.org/uniprot/A0A078S0G3,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S0J1,http://purl.uniprot.org/uniprot/A0A078S0J1,Bacteroides uniformis str. 3978 T3 ii,"3'(2'),5'-bisphosphate nucleotidase CysQ",3.1.3.7,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S0Y5,http://purl.uniprot.org/uniprot/A0A078S0Y5,Bacteroides uniformis str. 3978 T3 ii,Endolytic murein transglycosylase,4.2.2.29,False,ENZ016,polysaccharide_lyase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S199,http://purl.uniprot.org/uniprot/A0A078S199,Bacteroides uniformis str. 3978 T3 ii,N-acetylmuramoyl-L-alanine amidase,3.5.1.28,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1B2,http://purl.uniprot.org/uniprot/A0A078S1B2,Bacteroides uniformis str. 3978 T3 ii,Formyltetrahydrofolate deformylase,3.5.1.10,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1B7,http://purl.uniprot.org/uniprot/A0A078S1B7,Bacteroides uniformis str. 3978 T3 ii,beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1D1,http://purl.uniprot.org/uniprot/A0A078S1D1,Bacteroides uniformis str. 3978 T3 ii,Histidinol-phosphatase,3.1.3.15,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1H8,http://purl.uniprot.org/uniprot/A0A078S1H8,Bacteroides uniformis str. 3978 T3 ii,beta-N-acetylhexosaminidase,3.2.1.52,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1T0,http://purl.uniprot.org/uniprot/A0A078S1T0,Bacteroides uniformis str. 3978 T3 ii,beta-N-acetylhexosaminidase,3.2.1.52,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S1U4,http://purl.uniprot.org/uniprot/A0A078S1U4,Bacteroides uniformis str. 3978 T3 ii,Peptidyl-tRNA hydrolase,3.1.1.29,False,ENZ005,carboxylesterase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2C4,http://purl.uniprot.org/uniprot/A0A078S2C4,Bacteroides uniformis str. 3978 T3 ii,beta-N-acetylhexosaminidase,3.2.1.52,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2G0,http://purl.uniprot.org/uniprot/A0A078S2G0,Bacteroides uniformis str. 3978 T3 ii,D-aminoacyl-tRNA deacylase,3.1.1.-,False,ENZ005,carboxylesterase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2G0,http://purl.uniprot.org/uniprot/A0A078S2G0,Bacteroides uniformis str. 3978 T3 ii,D-aminoacyl-tRNA deacylase,3.1.1.96,False,ENZ005,carboxylesterase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2I0,http://purl.uniprot.org/uniprot/A0A078S2I0,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2I0,http://purl.uniprot.org/uniprot/A0A078S2I0,Bacteroides uniformis str. 3978 T3 ii,Beta-galactosidase,3.2.1.23,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2J9,http://purl.uniprot.org/uniprot/A0A078S2J9,Bacteroides uniformis str. 3978 T3 ii,Periplasmic beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2K0,http://purl.uniprot.org/uniprot/A0A078S2K0,Bacteroides uniformis str. 3978 T3 ii,beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2K0,http://purl.uniprot.org/uniprot/A0A078S2K0,Bacteroides uniformis str. 3978 T3 ii,beta-galactosidase,3.2.1.23,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2N1,http://purl.uniprot.org/uniprot/A0A078S2N1,Bacteroides uniformis str. 3978 T3 ii,Periplasmic beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2S2,http://purl.uniprot.org/uniprot/A0A078S2S2,Bacteroides uniformis str. 3978 T3 ii,Carboxylic ester hydrolase,3.1.1.-,False,ENZ005,carboxylesterase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2U1,http://purl.uniprot.org/uniprot/A0A078S2U1,Bacteroides uniformis str. 3978 T3 ii,,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2W3,http://purl.uniprot.org/uniprot/A0A078S2W3,Bacteroides uniformis str. 3978 T3 ii,asparaginase,3.5.1.1,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S2Z7,http://purl.uniprot.org/uniprot/A0A078S2Z7,Bacteroides uniformis str. 3978 T3 ii,NAD(+) diphosphatase,3.6.1.22,False,ENZ014,phosphatase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S334,http://purl.uniprot.org/uniprot/A0A078S334,Bacteroides uniformis str. 3978 T3 ii,Peptide deformylase,3.5.1.88,False,ENZ006,amidase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078S350,http://purl.uniprot.org/uniprot/A0A078S350,Bacteroides uniformis str. 3978 T3 ii,beta-galactosidase,3.2.1.23,False,ENZ009,beta_galactosidase,exact_ec
